match_id,date,time_of_day,day_of_week,patch,is_new_patch,map,starting_side,games_played_today,ally_net_winstreak,ally_avg_rank,ally_avg_acs,ally_avg_kd,ally_avg_eco,ally_num_duelists,ally_num_initiators,ally_num_controllers,ally_num_sentinels,ally_has_healer,enemy_avg_rank,enemy_avg_acs,enemy_avg_kd,enemy_avg_eco,enemy_num_duelists,enemy_num_initiators,enemy_num_controllers,enemy_num_sentinels,enemy_has_healer,enemy_smurf_suspected,delta_rank,delta_acs,delta_kd,delta_eco,won,queue_wait_seconds,ally_is_premade,ally_agents,ally_is_comp_standard,ally_avg_rr,ally_rank_spread,tilt_flag,enemy_agents,enemy_is_premade,enemy_premade_size,enemy_avg_rr,enemy_rank_spread,delta_rr,rounds_won,rounds_lost,round_margin
5a4e987b-3b8d-42a5-9723-e1abf7d8c761,2026-05-16,evening,Saturday,release-12.09-shipping-25-4697179,,Ascent,defense,2,1,14.00,217.86,1.08,3822.92,2,1,0,1,no,13.20,206.41,0.95,3620.42,2,1,1,1,no,,0.80,11.45,0.13,202.50,no,,yes,Cypher|Phoenix|Sova|Reyna|Miks,,44.40,3,,Jett|Chamber|Reyna|Clove|Sova,yes,5,,4,,11,13,-2
bf76c7df-a75d-4e6e-8ea1-7381a92ffc1e,2026-05-16,evening,Saturday,release-12.09-shipping-25-4697179,,Lotus,defense,3,-1,14.00,207.88,0.88,3485.83,1,1,0,2,no,14.80,225.57,1.15,3423.75,2,1,1,1,yes,,-0.80,-17.69,-0.27,62.08,no,,yes,Fade|Miks|Reyna|Cypher|Killjoy,,44.40,3,,Breach|Reyna|Sage|Omen|Jett,yes,5,,5,,11,13,-2
d056f2e8-6f38-40c1-b4c6-ff713c6a72b0,2026-05-17,afternoon,Sunday,release-12.09-shipping-25-4697179,,Fracture,attack,1,-2,14.00,176.22,0.60,3003.89,1,2,0,1,no,11.40,259.41,1.73,3712.78,2,1,0,1,no,,2.60,-83.19,-1.13,-708.89,no,,yes,Cypher|Breach|Miks|Tejo|Reyna,,44.40,3,,Miks|Phoenix|Cypher|Gekko|Raze,yes,5,,15,,5,13,-8
75e7bc09-7962-4b60-aadd-22462d835e77,2026-05-17,evening,Sunday,release-12.09-shipping-25-4697179,,Pearl,attack,2,-3,14.00,221.08,1.03,3804.62,1,2,1,1,yes,13.40,220.33,0.96,3566.92,2,1,1,1,yes,,0.60,0.75,0.07,237.69,yes,,yes,Gekko|Sage|Brimstone|Phoenix|Fade,,44.40,3,,Reyna|Vyse|Raze|Skye|Clove,yes,5,,7,,14,12,2
82b19e9e-4973-4baf-a71e-b2730adef077,2026-05-17,evening,Sunday,release-12.09-shipping-25-4697179,,Split,attack,3,1,14.00,171.96,0.63,3084.44,1,1,1,1,yes,14.00,251.51,1.82,3777.78,2,0,0,2,yes,,0.00,-79.56,-1.19,-693.33,no,,yes,Gekko|Sage|Miks|Viper|Reyna,,44.40,3,,Sage|Miks|Deadlock|Jett|Raze,yes,5,,3,,5,13,-8
7a38bb59-8706-42b2-845c-5896b02c12e7,2026-05-18,afternoon,Monday,release-12.09-shipping-25-4697179,,Split,defense,1,-1,14.00,226.56,1.02,3597.50,1,1,1,1,yes,9.60,219.79,1.01,3599.17,2,0,1,2,yes,,4.40,6.77,0.00,-1.67,yes,,yes,Viper|Raze|Miks|Gekko|Sage,,44.40,3,,Chamber|Jett|Omen|Sage|Raze,yes,5,,15,,13,11,2
020f2725-d5ac-4160-9f45-e76f57d1c7cc,2026-05-18,evening,Monday,release-12.09-shipping-25-4697179,,Pearl,attack,2,1,14.00,185.48,0.80,3286.82,1,1,0,2,yes,14.20,228.90,1.26,3590.91,2,1,1,1,yes,,-0.20,-43.42,-0.46,-304.09,no,,yes,Fade|Phoenix|Sage|Miks|Cypher,,44.40,3,,Clove|Sage|Neon|Reyna|Tejo,yes,5,,14,,9,13,-4
d1f08b4f-c4a6-4e3e-a21d-748b52672149,2026-05-21,afternoon,Thursday,release-12.09-shipping-26-4704114,,Lotus,attack,1,-1,14.00,181.05,0.79,3512.50,1,1,1,2,yes,13.60,238.41,1.28,3584.50,2,1,1,1,no,,0.40,-57.36,-0.49,-72.00,no,,yes,Omen|Sage|Phoenix|Gekko|Cypher,,44.40,3,,Phoenix|Raze|Omen|Killjoy|Fade,yes,5,,5,,7,13,-6
1919a360-69e4-4193-be5c-65b023ca4b51,2026-05-21,evening,Thursday,release-12.09-shipping-26-4704114,,Ascent,defense,2,-2,13.60,197.88,0.87,3485.91,1,1,0,2,no,13.40,208.74,1.18,3864.55,2,0,1,2,no,,0.20,-10.85,-0.30,-378.64,no,,yes,Sova|Reyna|Miks|Cypher|Killjoy,,44.40,4,,Chamber|Jett|Deadlock|Clove|Phoenix,yes,5,,4,,9,13,-4
af3d212d-d9a8-414c-920d-8b42aded67fe,2026-05-23,afternoon,Saturday,release-12.09-shipping-26-4704114,,Fracture,attack,1,-3,13.20,188.39,0.83,4037.50,1,2,0,1,no,14.20,219.79,1.29,4003.75,2,1,1,1,yes,,-1.00,-31.39,-0.46,33.75,no,,yes,Tejo|Fade|Reyna|Miks|Deadlock,,44.40,3,,Astra|Skye|Raze|Reyna|Chamber,yes,5,,10,,15,17,-2
1a5285a6-6ab3-478e-8691-b0c899d10fbf,2026-05-23,evening,Saturday,release-12.09-shipping-26-4704114,,Split,defense,2,-4,13.00,202.46,1.00,3890.83,1,1,2,1,yes,12.20,217.37,1.05,3594.17,2,0,0,2,no,,0.80,-14.91,-0.05,296.67,no,,yes,Sage|Viper|Omen|Gekko|Reyna,,44.40,3,,Raze|Cypher|Chamber|Yoru|Miks,yes,5,,4,,11,13,-2
ed2be6f5-55de-4086-9278-afeeb8f52e90,2026-05-24,afternoon,Sunday,release-12.09-shipping-26-4704114,,Split,defense,1,-5,12.00,226.14,1.36,3792.00,1,1,1,1,yes,12.00,194.78,0.78,3224.50,2,1,1,1,yes,,0.00,31.36,0.59,567.50,yes,,yes,Gekko|Sage|Viper|Miks|Reyna,,35.00,7,,Jett|Raze|Deadlock|Omen|Skye,yes,5,,3,,13,7,6
1e5a4571-be4d-40ba-94e1-75b7a7f2e4cf,2026-05-24,evening,Sunday,release-12.09-shipping-26-4704114,,Ascent,attack,2,1,12.00,210.78,0.85,3142.11,2,1,0,1,no,12.80,229.14,1.29,3621.05,2,0,1,2,yes,,-0.80,-18.36,-0.43,-478.95,no,,yes,Cypher|Sova|Jett|Reyna|Miks,,35.00,7,,Jett|Killjoy|Neon|Omen|Sage,yes,5,,6,,6,13,-7
f6383115-f0b4-4398-85d1-1ba62db8b650,2026-05-25,evening,Monday,release-12.09-shipping-26-4704114,,Breeze,attack,1,-1,13.00,258.60,2.79,3988.57,1,1,1,1,no,12.20,151.24,0.47,2785.71,1,2,1,1,yes,,0.80,107.36,2.33,1202.86,yes,,yes,Cypher|Sova|Miks|Reyna|Harbor,,44.40,3,,Clove|Cypher|Phoenix|Skye|Tejo,yes,5,,9,,13,1,12
232e7e01-81ae-45e5-8b09-0f91a27bf56e,2026-05-25,evening,Monday,release-12.09-shipping-26-4704114,,Haven,defense,2,1,13.20,209.17,0.97,3363.04,2,1,0,1,no,14.00,213.55,1.07,3860.00,2,1,1,0,no,,-0.80,-4.38,-0.10,-496.96,no,,yes,Sova|Phoenix|Jett|Miks|Cypher,,44.40,3,,Iso|Raze|Gekko|Miks|Omen,yes,5,,6,,10,13,-3
4dce2265-db30-4193-8f4c-f099c616cc25,2026-05-25,evening,Monday,release-12.09-shipping-26-4704114,,Fracture,defense,3,-1,13.20,184.44,0.79,3269.50,1,2,0,1,no,13.60,223.96,1.28,3781.00,2,1,0,1,no,,-0.40,-39.52,-0.49,-511.50,no,,yes,Tejo|Reyna|Deadlock|Breach|Miks,,44.40,3,,Jett|Miks|Sova|Reyna|Chamber,yes,5,,6,,7,13,-6
5dabfb7e-665e-4da6-823d-802757a8b289,2026-05-26,afternoon,Tuesday,release-12.09-shipping-26-4704114,,Haven,defense,1,-2,13.00,225.13,1.06,3391.05,1,1,0,2,no,13.00,223.54,0.96,3458.95,1,1,1,2,yes,,0.00,1.59,0.10,-67.89,yes,,yes,Killjoy|Cypher|Sova|Phoenix|Miks,,44.40,3,,Sage|Reyna|Sova|Omen|Chamber,yes,5,,4,,13,6,7
f2798161-adbc-49ff-8f0e-fddb4bde616d,2026-05-26,evening,Tuesday,release-12.09-shipping-26-4704114,,Ascent,defense,2,1,13.20,208.83,0.90,3325.24,1,1,0,2,no,13.00,223.76,1.15,3514.29,1,1,1,2,yes,,0.20,-14.93,-0.25,-189.05,no,,yes,Killjoy|Cypher|Phoenix|Sova|Miks,,44.40,3,,Brimstone|Sage|Fade|Cypher|Phoenix,yes,5,,2,,8,13,-5
a56248d7-803c-48ad-a4d4-3300693f2f17,2026-05-26,evening,Tuesday,release-12.09-shipping-26-4704114,,Pearl,defense,3,-1,13.20,238.45,1.16,3444.00,1,1,0,2,no,13.40,214.80,0.91,3379.00,2,1,0,1,no,,-0.20,23.65,0.25,65.00,yes,,yes,Miks|Reyna|Fade|Vyse|Cypher,,44.40,3,,Chamber|Jett|Gekko|Miks|Phoenix,yes,5,,3,,13,7,6
c585a71d-185e-4aac-99ea-ef72847d5180,2026-05-27,afternoon,Wednesday,release-12.09-shipping-26-4704114,,Fracture,defense,1,1,13.20,202.23,1.09,3584.17,0,2,0,1,no,13.80,197.76,0.97,3669.58,2,1,0,1,no,,-0.60,4.47,0.12,-85.42,yes,,yes,Killjoy|Miks|Waylay|Tejo|Breach,,44.40,3,,Breach|Chamber|Raze|Miks|Reyna,yes,5,,2,,13,11,2
331a0c17-c3f2-4171-8e56-832e1059daa4,2026-05-27,evening,Wednesday,release-12.09-shipping-26-4704114,,Lotus,defense,2,2,13.20,210.04,0.99,3955.31,1,1,0,2,no,9.40,210.72,1.02,3803.75,2,0,0,2,no,,3.80,-0.69,-0.04,151.56,no,,yes,Miks|Killjoy|Phoenix|Fade|Cypher,,44.40,3,,Jett|Chamber|Raze|Miks|Killjoy,yes,5,,13,,16,16,0
b920ebfc-ce3d-4efa-b0cb-7b037e32dcce,2026-05-28,afternoon,Thursday,release-12.10-shipping-17-4738152,,Breeze,defense,1,-1,13.20,201.36,0.84,3319.00,1,1,1,1,no,12.60,223.97,1.30,3790.50,2,1,1,1,no,,0.60,-22.61,-0.47,-471.50,no,,yes,Sova|Cypher|Reyna|Harbor|Miks,,44.40,3,,Fade|Jett|Reyna|Viper|Chamber,yes,5,,7,,7,13,-6
b0a389c8-5ce1-4404-97ba-47100980c082,2026-05-28,evening,Thursday,release-12.10-shipping-17-4738152,,Split,attack,2,-2,13.20,220.29,0.92,3609.29,1,1,1,1,yes,11.00,239.26,1.17,3750.71,1,1,1,2,yes,,2.20,-18.98,-0.25,-141.43,no,,yes,Reyna|Viper|Gekko|Miks|Sage,,44.40,3,,Raze|Sage|Clove|Fade|Killjoy,yes,5,,16,,13,15,-2
